YearMonth,Rainfallmm
2009-01,1
2009-02,1
2009-03,13.2
2009-04,26.8
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,1
2009-12,66.8
2010-01,1
2010-02,2
2010-03,1.2
2010-04,39.9
2010-05,32.6
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,51
2011-02,9
2011-03,1
2011-04,27.7
2011-05,4.6
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,45.3
2011-12,0
2012-01,0
2012-02,5.6
2012-03,7.7
2012-04,7.8
2012-05,1
2012-06,0
2012-07,0
2012-08,0
2012-09,0
2012-10,1
2012-11,26
2012-12,9.2
2013-01,2.6
2013-03,7.6
2013-05,2
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,0
2013-11,51.6
2014-01,35.2
2014-03,9.3
2014-04,4.1
2014-05,10.8
2014-06,0
2014-07,0
2014-08,0
2014-09,0
2014-10,0
2014-11,0
2014-12,0
2015-01,9.2
2015-02,0.001
2015-03,21
2015-04,0
2015-05,2.8
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,0
2015-11,17.6
2015-12,36.1
2016-01,0.001
2016-02,3.4
2016-03,9.8
2016-04,16.8
2016-05,0.001
2016-06,0
2016-07,0
2016-08,0
2016-09,0
2016-10,0
2016-11,27.5
2016-12,0
2017-01,0.001
2017-02,7.6
2017-03,0.001
2017-04,0.001
2017-05,2.5
2017-06,0.001
2017-07,0
2017-08,0.001
2017-09,1.1
2017-10,15
2017-11,16
2017-12,12
2018-01,0
2018-02,7.8
2018-03,0
2018-04,4.2
2018-05,2.2
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,10.4
2018-11,78.1
2018-12,0.001
2019-01,1
2019-02,19.8
2019-03,14.4
2019-04,30
2019-05,0
2019-06,0
2019-07,0
2019-08,0
2019-09,0
2019-10,0
2019-11,3.5
2019-12,49.6
