Year,Month,Rainfallmm
2009,1,1
2009,2,1
2009,3,13.2
2009,4,26.8
2009,5,0
2009,6,0
2009,7,0
2009,8,0
2009,9,0
2009,10,0
2009,11,1
2009,12,66.8
2010,1,1
2010,2,2
2010,3,1.2
2010,4,39.9
2010,5,32.6
2010,6,0
2010,7,0
2010,8,0
2010,9,0
2010,10,0
2010,11,0
2010,12,0
2011,1,51
2011,2,9
2011,3,1
2011,4,27.7
2011,5,4.6
2011,6,0
2011,7,0
2011,8,0
2011,9,0
2011,10,0
2011,11,45.3
2011,12,0
2012,1,0
2012,2,5.6
2012,3,7.7
2012,4,7.8
2012,5,1
2012,6,0
2012,7,0
2012,8,0
2012,9,0
2012,10,1
2012,11,26
2012,12,9.2
2013,1,2.6
2013,3,7.6
2013,5,2
2013,6,0
2013,7,0
2013,8,0
2013,9,0
2013,10,0
2013,11,51.6
2014,1,35.2
2014,3,9.3
2014,4,4.1
2014,5,10.8
2014,6,0
2014,7,0
2014,8,0
2014,9,0
2014,10,0
2014,11,0
2014,12,0
2015,1,9.2
2015,2,0.001
2015,3,21
2015,4,0
2015,5,2.8
2015,6,0
2015,7,0
2015,8,0
2015,9,0
2015,10,0
2015,11,17.6
2015,12,36.1
2016,1,0.001
2016,2,3.4
2016,3,9.8
2016,4,16.8
2016,5,0.001
2016,6,0
2016,7,0
2016,8,0
2016,9,0
2016,10,0
2016,11,27.5
2016,12,0
2017,1,0.001
2017,2,7.6
2017,3,0.001
2017,4,0.001
2017,5,2.5
2017,6,0.001
2017,7,0
2017,8,0.001
2017,9,1.1
2017,10,15
2017,11,16
2017,12,12
2018,1,0
2018,2,7.8
2018,3,0
2018,4,4.2
2018,5,2.2
2018,6,0
2018,7,0
2018,8,0
2018,9,0
2018,10,10.4
2018,11,78.1
2018,12,0.001
2019,1,1
2019,2,19.8
2019,3,14.4
2019,4,30
2019,5,0
2019,6,0
2019,7,0
2019,8,0
2019,9,0
2019,10,0
2019,11,3.5
2019,12,49.6
